sku,msrp,qty,price,cost,upc,type,status,visibility,enable_googlecheckout,tax_class_id,category_ids,iceus_component_type_1,iceus_watch_brand_and_designer,iceus_watch_collection,iceus_item_target_audience,name,url_path,url_key,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,gift_message_available,product_type_id,description,iceus_watch_strap_material,iceus_watch_dial_color,iceus_watch_movement_type,iceus_watch_clasp_type,iceus_watch_band_type,iceus_watch_band_color,iceus_watch_case_shape,iceus_watch_case_diameter,iceus_watch_bracelet_width,iceus_watch_bracelet_length,iceus_watch_crystal,iceus_watch_crown_type,country_of_manufacture,iceus_watch_water_resist,iceus_watch_bezel_material,attribute_set,iceus_vendor,weight
al-80008-02-d-rd,250,25,73.99,53.82,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Adore,Women,A Line Women's Adore,A-Line-Womens-Adore-al-80008-02-d-rd/,A-Line-Womens-Adore-al-80008-02-d-rd,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Genuine leather Strap,Silver dial, Japanese quartzmovement, Water Resistant 5 ATM/50 meters/165 feet.",Genuine Leather,Silver,Japanese quartz,Deployment,Strap,Silver,Round,38 mm,17mm,6 inches,Mineral,Push/pull with white cabochon,China,5 ATM/50 Meters/165 Feet,,Ice US,Accuratime Corp,1
al-80008-02-gy,250,25,73.99,53.82,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Adore,Women,A Line Women's Adore,A-Line-Womens-Adore-al-80008-02-gy/,A-Line-Womens-Adore-al-80008-02-gy,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Genuine leather Strap,Silver dial, Japanese quartzmovement, Water Resistant 5 ATM/50 meters/165 feet.",Genuine Leather,Silver,Japanese quartz,Hidden,Strap,Silver,Round,38 mm,17mm,6 inches,Mineral,Push/pull with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80008-02-rd,250,25,73.99,53.82,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Adore,Women,A Line Women's Adore,A-Line-Womens-Adore-al-80008-02-rd/,A-Line-Womens-Adore-al-80008-02-rd,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Genuine leather Strap,Silver dial, Quartzmovement, Water Resistant 5 ATM/50 meters/165 feet.",Genuine Leather,Silver,Japanese quartz,Hidden,Strap,Silver,Round,38 mm,17mm,6 inches,Mineral,Push/pull with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80008-rg-02-pk,275,25,73.99,53.82,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Adore,Women,A Line Women's Adore,A-Line-Womens-Adore-al-80008-rg-02-pk/,A-Line-Womens-Adore-al-80008-rg-02-pk,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Genuine leather with reptile print, Black dial, Japan Chronograph quartz Miyota OS21 movement, Sapphitek, 10 ATM/100 meters/330 feet",Genuine Leather,Silver,Quartz,Hidden,Strap,Silver,Round,38 mm,17mm,6 inches,Mineral,Push/pull with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80008-rg-02-tan,725,15,132.99,97.49,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80008-rg-02-tan/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12159,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, an all black case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,White,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80008-rg-02-yl,725,25,132.99,97.49,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80008-rg-02-yl/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12160,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, black and gold case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement, which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,White,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,White,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80008-yg-02-wh,95,20,77.99,57,86702479283,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Ceramic,Women,Anne Klein Women's Ceramic,Anne-Klein-Womens-Ceramic-al-80008-yg-02-wh/,Anne-Klein-Womens-Ceramic-10-9416rgwt,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Metal case, Ceramic Bracelet, Pink dial, Japanese Quartz movement, Scratch-resistant mineral, Water resistant up to 3 ATM - 30 Meters - 99 Feet",Ceramic,Mother of Pearl,Japanese quartz,Jewelry,Bracelet,White,Round,24mm,16mm,6 inches,Mineral,Push/pull,China,3 ATM - 30 Meters - 99 Feet,White enamel bezel with 6 Swarovski crystals,Ice US,Accuratime Corp,1
al-80009-02or,650,25,113.99,83.7,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Propel Automatic,Men,Swiss Precimax Men's Propel Automatic,Swiss-Precimax-Mens-Propel-Automatic-al-80009-02or/,Swiss-Precimax-Mens-Propel-Automatic-sp12196,No layout updates,Block after Info Column,Use config,Use config,No,simple,"With a focus on a sleek design and optimized features, this no-nonsense timepiece combines a classic look with a modern touch. A precise Automatic movement is secured within a solid black stainless steel case, and the lustrous black stainless steel band ensures the watch is securely bound to the wearer without sacrificing style and design. These features are met with a black patterned dial and a scratch-resistant Sapphimaxª crystal to create a supremely durable accessory and reliable timekeeping device. Additional features include day/date display and 100M water resistance, making this supreme watch an all-around perfect accessory for the everyday.",Stainless Steel,Black,Automatic,Fold Over Clasp With Double Push Button Safety,Bracelet,Silver & Black,,42mm,13mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80009-02yl,675,25,101.99,74.65,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Maritime Pro,Men,Swiss Precimax Men's Maritime Pro,Swiss-Precimax-Mens-Maritime-Pro-al-80009-02yl/,Swiss-Precimax-Mens-Maritime-Pro-sp12191,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Effortlessly linking the casual and professional worlds, this Maritime Pro watch by Swiss Precimaxª has the luxury timepiece feel without removing any key features. This impressive watch showcases a 45mm silver stainless steel case and silver band that the brand is known for. The case harbors a silver patterned dial with chronograph subdials, a date subdial, as well as a standard date display. The internal workings of these watch is protected by a scratch-resistant Sapphimaxª crystal and a 100 meter water resistance you can count on. WhatÕs more, this watch is powered by a precise Swiss chronograph movement, making it a highly-accurate tool anywhere you go. Additional features include a chronograph, screw-down crown, and luminous hands.",Stainless Steel,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Silver & Black,,45mm,14mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80009-22-bu,850,25,127.99,93.98,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Falcon Pro,Men,Swiss Precimax Men's Falcon Pro,Swiss-Precimax-Mens-Falcon-Pro-al-80009-22-bu/,Swiss-Precimax-Mens-Falcon-Pro-sp13113,No layout updates,Block after Info Column,Use config,Use config,No,simple,"True to its name, this watch in the Falcon Pro collection by Swiss Precimaxª displays a classic aviation design while making the modern adjustments that Swiss Precimax is known for. This watch features a sleek silver stainless steel band and stylishly-contoured 46mm silver case, which meet around the boldly-accented black dial. This watch is all about utility, and with the precise Swiss-Chronograph movement, highly-visible subdials, unidirectional silver bezel, and date display, this watch easily proves to be useful timekeeping tool. Additional features include Sapphimaxª crystal, 100 meter water resistance, and screw-down crown.",Stainless Steel,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,,Silver & Black,,46mm,23,,Mineral,Push Button,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80009-22-rd,875,25,133.99,98.83,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Crew Pro,Men,Swiss Precimax Men's Crew Pro,Swiss-Precimax-Mens-Crew-Pro-al-80009-22-rd/,Swiss-Precimax-Mens-Crew-Pro-sp13259,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Adhering to the same quality standards that Swiss Precimaxª is known for, this Crew Pro watch remains true to form. Comprised of a highly-durable silver stainless steel case and silver band, and is secured by means of a reliable fold over clasp, this watch is serious business. Powered by a precise a Swiss chronograph movement, this watch utilizes three bold subdials and a date display to serve as a valuable timekeeping tool. Utility aside, this watch also displays a striking black dial and silver details to prove itself to be a fashionable accessory. Equipped with a screw-down crown and 100 meter water resistance, this watch integrates modern characteristics with time-honored design.",Stainless Steel,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Silver & Black,,49mm,14mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80009-rg-02yl,375,25,100.99,73.98,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A Line Women's Marina,A-Line-Womens-Marina-al-80009-rg-02yl/,A-Line-Womens-Marina-al-80009-rg-02yl,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Brown dial, Brown textured rubber bracelet, Japanese chronograph quartz movement, 10 ATM/100 Meters/330 feet",Stainless Steel,White,Quartz,Push button deployment with safety,Bracelet,White,Round,37mm,17mm,6 inches,Mineral,Pull/push with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80009-yg-02yl,1525,25,233.99,172.81,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,915",Watch,Swiss Precimax,Desire Elite Ceramic Diamond,Women,Swiss Precimax Women's Desire Elite Ceramic Diamond,Swiss-Precimax-Womens-Desire-Elite-Ceramic-Diamond-al-80009-yg-02yl/,Swiss-Precimax-Womens-Desire-Elite-Ceramic-Diamond-sp12078,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A quintessential representation of luxury timepieces, this pristine watch is a paradigm of high-quality fashion accessories that stand for what Swiss Precimax is all about. The scratch-resistant Sapphimaxª crystal is surrounded by 16 diamonds and 40 Swarovski crystal accents embellish this watch with a sophisticated air, and the stainless steel and black ceramic band accentuates this quality even further. This watch incorporates dazzling silver details which, joined with an eye-catching black mother-of-pearl dial, ensures this timepiece will be the center of attention in any setting.",Ceramic,Mother-Of-Pearl,Swiss Quartz,Deployment Clasp With Push Button,,Gold,,34mm,17,,Sapphimax,Push Button,China,50 Meters / 165 Feet / 5 ATM,,Ice US,Accuratime Corp,1
al-80010-014-gy,375,25,112.99,82.8,U722631423729,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80010-014-gy/,A-Line-Womens-Aroha-al-80010-014-gy,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant K1 cystal, Water resistant up to 3 ATM - 30 Meters - 100 Feet",Silicone,Brown,Japanese quartz,Buckle,Strap,Gray,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80010-016-be,375,25,112.99,82.8,U722631423743,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80010-016-be/,A-Line-Womens-Aroha-al-80010-016-be,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant K1, Water resistant up to 3 ATM - 30 meters - 99 feet",Silicone,Beige,Japanese quartz,Buckle,Strap,Beige,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80010-02-wh,375,25,112.99,82.8,U722631423736,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80010-02-wh/,A-Line-Womens-Aroha-al-80010-02-wh,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant K1, Water resistant up to 3 ATM - 30 meters - 99 feet",Silicone,Silver,Japanese quartz,Buckle,Strap,White,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80010-03-bu,495,25,130.99,96.66,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,901",Watch,Cabochon,Ceramique,Women,Cabochon Women's Ceramique,Cabochon-Womens-Ceramique-al-80010-03-bu/,Cabochon-Womens-Ceramique-cabochon-313,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Royal blue ceramic case, Ceramic Bracelet,White dial, Swiss movement quartz movement, mineral, 10 ATM/100 meters/330 feet",Ceramic,Royal,Swiss movement quartz,Push button hidden,Bracelet,Blue,Round,39mm,19.5mm,6 inches,Crystal,Screw-down Rose gold tone IP stainless steel,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
al-80010-05-rd,375,25,112.99,82.8,U722631426164,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80010-05-rd/,A-Line-Womens-Aroha-al-80010-05-rd,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant mineral, Water resistant 5 ATM - 50 meters - 165 feet",Silicone,Red,Japanese chronograph quartz,Buckle,Strap,Red,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80011-014-gy,375,25,112.99,82.8,U722631423781,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80011-014-gy/,A-Line-Womens-Aroha-al-80011-014-gy,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 99 feet",Silicone,Brown,Japanese quartz,Buckle,Strap,Gray,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80011-015-pn,375,25,112.99,82.8,U722631423811,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80011-015-pn/,A-Line-Womens-Aroha-al-80011-015-pn,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather Strap, White dial, Quartz Movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 Meters - 99 Feet",Silicone,Pink,Japanese quartz,Buckle,Strap,Pink,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80011-02-wh,375,25,112.99,82.8,U722631423828,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80011-02-wh/,A-Line-Womens-Aroha-al-80011-02-wh,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 99 feet",Silicone,Silver,Japanese quartz,Buckle,Strap,White,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,10 ATM/100 Meters/330 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80011-03-nb,375,25,112.99,82.8,U722631423798,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80011-03-nb/,A-Line-Womens-Aroha-al-80011-03-nb,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 99 feet",Silicone,Blue,Japanese quartz,Buckle,Strap,Blue,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80011-05-rd,375,25,112.99,82.8,U722631423835,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80011-05-rd/,A-Line-Womens-Aroha-al-80011-05-rd,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 99 feet",Silicone,Red,Japanese quartz,Buckle,Strap,Red,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80011-08-gn,375,25,112.99,82.8,U722631423842,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A Line Women's Aroha,A-Line-Womens-Aroha-al-80011-08-gn/,A-Line-Womens-Aroha-al-80011-08-gn,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant mineral, Water resistant up to 5 ATM - 50 meters - 165 feet",Silicone,Green,Japanese quartz,Buckle,Strap,Green,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80012-02-bk,595,25,159.99,118.08,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A-Line Women's Marina,A-Line-Womens-Marina-al-80012-02-bk/,A-Line-Womens-Marina-al-20041-nbwsr,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Navy blue ceramic case, Ceramic Bracelet,White dial, Japanese chronograph quartz movement, mineral, 5 ATM/50 meters/165 feet",Ceramic,White,Japanese chronograph quartz,Push button hidden,Bracelet,Navy blue,Round,40mm,20mm,6 inches,Crystal,Pull/push stainless steel with navy blue cabochon,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
al-80012-02-br,925,25,136.99,100.64,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80012-02-br/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12172,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, gold and silver case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement, which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Black & Gold,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80012-02-bu,395,25,125.99,92.88,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,911",Watch,Kenneth Jay Lane,3000,Women,KJ LANE Women's 3000 Ceramic Series White MOP Dial,KJ-LANE-Womens-3000-Ceramic-Series-White-MOP-Dial-al-80012-02-bu/,KJ-LANE-Womens-3000-Ceramic-Series-White-MOP-Dial-kjlane-3017,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Blue ceramics case, Ceramic Bracelet,Blue dial, Japanese quartz movement, Sapphitek,Water resistant up to10 ATM/100 meters/330 feet",Ceramic,White mother of pearl,Japanese quartz,Push button deployment,Bracelet,Blue,Round,38mm,19mm,6 inches,Sapphitek,,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80012-02-wh,95,8,77.99,57,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Classic,Women,Anne Klein Women's Classic,Anne-Klein-Womens-Classic-al-80012-02-wh/,Anne-Klein-Womens-Classic-10-9416wtwt,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Metal case, Ceramic bracelet, Silver dial, Japanese Quartz movement, Scratch-resistant mineral, Water resistant up to 3 ATM - 30 Meters - 99 Feet",Ceramic,Mother of pearl,Japanese quartz,Jewelry,Bracelet,White,Round,31mm,16mm,6 inches,Mineral,Push/Pull,China,3 ATM - 30 Meters - 99 Feet,Swarovski crystal accented bezel and dial,Ice US,Accuratime Corp,1
al-80012-rg-02-br,105,4,85.99,63,6.91E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,388",Watch,Fossil,Classic,Women,Fossil Women's Classic,Fossil-Womens-Classic-al-80012-rg-02-br/,Fossil-Womens-Classic-es2795,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Alloy with imitation aluminum rubber Spay case, Polyurethane strap, Orange dial, Quartz movement, Scratch resistant mineral, Water resistant up to 5 ATM - 50 Meters - 165 Feet",Aluminum,Brown,Quartz,Deployment,Bracelet,Brown,Round,38mm,17mm,6 inches,Mineral,Push/pull,China,5 ATM - 50 Meters - 165 Feet,"Chronograph, Date & day display",Ice US,Accuratime Corp,1
al-80012-rg-02-pn,150,8,122.99,90,86702502110,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Ceramic,Women,Anne Klein Women's Ceramic,Anne-Klein-Womens-Ceramic-al-80012-rg-02-pn/,Anne-Klein-Womens-Ceramic-10-9344rglp,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Metal case, Ceramic Bracelet, Mother of pearl Dial, Japanese-Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 Meters - 99 Feet",Ceramic,Pink,Quartz,Fold-Over Clasp with Doub,Bracelet,Pink,Round,32mm,16mm,6 inches,Mineral,Push/pull,China,3 ATM - 30 Meters - 99 Feet,Light pink ceramic bezel,Ice US,Accuratime Corp,1
al-80012-yg-02-bu,395,25,125.99,92.88,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,911",Watch,Kenneth Jay Lane,3000,Women,KJ LANE Women's 3000 Ceramic Series Blue Dial,KJ-LANE-Womens-3000-Ceramic-Series-Blue-Dial-al-80012-yg-02-bu/,KJ-LANE-Womens-3000-Ceramic-Series-Blue-Dial-kjlane-3018,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Blue ceramics case, Ceramic Bracelet,White mother of pearl dial, Japanese quartz movement, Sapphitek,Water resistant up to5 ATM/50 meters/165 feet",Ceramic,Blue,Japanese quartz,Push button deployment,Bracelet,Blue,Round,38mm,19mm,6 inches,Sapphitek,,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
al-80012-yg-02-wh,95,4,77.99,57,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Classic,Women,Anne Klein Women's Classic,Anne-Klein-Womens-Classic-al-80012-yg-02-wh/,Anne-Klein-Womens-Classic-10-9417wtwt,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Metal case, Stainless steel bracelet, Silver dial, Japanese-Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 Meters - 99 Feet",Ceramic,Mother of pearl,Japanese quartz,Jewelry,Bracelet,White,Round,32mm,16mm,6 inches,Mineral,Push/Pull,China,3 ATM - 30 Meters - 99 Feet,"Swarovski crystals, white enamel bezel with six Swarovski crystals",Ice US,Accuratime Corp,1
al-80013-11,2300,1,1841.99,1364,7.61E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Tag Heuer,Formula 1,Men,Tag Heuer Men's Formula 1,Tag-Heuer-Mens-Formula-1-al-80013-11/,Tag-Heuer-Mens-Formula-1-cah1210.ba0862,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Rubber Strap, Black dial, Quartz movemet Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 99 feet",Stainless Steel,Black,Quartz,deployment-clasp-with-dou,Bracelet,Silver & Black,Round,41mm,20mm,7 inches,Anti reflective,Push/pull,Switzerland,20 ATM-200 Meters-660 Feet,"Chronograph, Date display",Ice US,Accuratime Corp,1
al-80013-yg-22,750,25,132.99,97.49,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80013-yg-22/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12175,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, gold and silver case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement, which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Orange,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,White,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
